,ticker,name,slug,marketcap,sector,category,tagline,desc,symbol
0,BTC,Bitcoin,bitcoin,731385341499.0842,Currencies,Payments,A peer-to-peer electronic cash system,"Bitcoin is the first <a href=""https://messari.io/resource/distributed-systems"">distributed consensus-based</a>, censorship-resistant, permissionless, peer-to-peer payment settlement network with a provably scarce, programmable, native currency. Bitcoin (BTC), the native asset of the Bitcoin blockchain, is the world's first digital currency without a central bank or administrator. The Bitcoin network is an emergent decentralized monetary institution that exists through the interplay between <a href=""https://messari.io/resource/node"">full nodes</a>, <a href=""https://messari.io/resource/mining"">miners</a>, and developers. It is set by a social contract that is created and opted into by the users of the network and hardened through <a href=""https://messari.io/c/resource/game-theory"">game theory</a> and <a href=""https://messari.io/resource/cryptography"">cryptography</a>. Bitcoin is the first, oldest, and largest cryptocurrency in the world.",BTC
1,ETH,Ethereum,ethereum,321286452105.6584,Smart Contract Platforms,Infrastructure,A decentralized computing platform,"Ethereum is a distributed blockchain computing platform for smart contracts and decentralized applications. Its native token is ether (ETH), which primarily serves as a means of payment for transaction fees and as collateral for borrowing specific <a href=""https://messari.io/article/erc-20"">ERC-20</a> tokens within the <a href=""https://messari.io/article/decentralized-finance-defi"">decentralized finance (DeFi</a>) sector.",ETH
2,USDT,Tether,tether,62401534427.92381,Stablecoins,Payments,Cryptocurrency backed by U.S. dollars,"Tether is fiat-collateralized <a href=""https://messari.io/resource/stablecoins"">stablecoin</a> that offers individuals the advantages of transacting with blockchain-based assets while mitigating price risk. Tether is primarily issued on the Ethereum and Bitcoin blockchains and corresponds on a 1:1 basis with US Dollars sitting in bank accounts.  ",USDT
3,BNB,BNB,binance-coin,57709839020.922325,Centralized Exchanges,Financial,An exchange token native to the Binance blockchain ,Binance Coin is digital asset native to the Binance blockchain and launched by the Binance online exchange. ,BNB
4,ADA,Cardano,cardano,53169040352.59496,Smart Contract Platforms,Infrastructure,Layered blockchain for smart contract and dapp development,"Cardano is an open-source, smart-contract platform that aims to provide multiple features through layered design. Its modularization will eventually allow for network delegation, sidechains, and light client data structures. Cardano uses a version of Proof-of-Stake (PoS) called Ouroboros to secure the network and manage the block production process. The network features a native token called ADA that gives stakers a claim on new issuance in proportion to their holdings and allows users to pay for transactions.",ADA
5,DOGE,Dogecoin,dogecoin,43161935598.73862,Currencies,Payments,A meme-currency dedicated to Shiba Inus,Dogecoin is a playful cryptocurrency popularized by adopting the Shiba Inu internet meme.,DOGE
6,XRP,XRP,xrp,38476791321.63313,Currencies,Payments,Global money transfer,"XRP is a cryptocurrency aiming to increase the speed and reduce the cost of transferring money between financial institutions. Underpinning <a href=""https://messari.io/organization/ripple"">Ripple</a>'s xRapid product, an on-demand liquidity solution, XRP is used as a bridge currency for financial institutions exchanging value between multiple fiat currencies. XRP is the native token of the XRP Ledger, an open-source cryptographic ledger powered by a peer-to-peer network of nodes.",XRP
7,DOT,Dotcoin,dotcoin,,,,,,DOT
8,ICP,Internet Computer,internet-computer,16782338013.527077,Smart Contract Platforms,Infrastructure,A decentralized computing platform for software services,"The Internet Computer (IC) is a blockchain network built by the DFINITY Foundation that aims to support smart contract development at scale. It's an attempt to reinvent how users interact with internet applications as its nodes run on specialized hardware housed by various independent data centers. The IC lets developers deploy and run applications through the use of canisters, which are akin to smart contracts. Each canister has a storage capacity of 4GB. The IC features two core tokens: ICP is the network's governance token, and Cycles (created by burning ICP) are a form of stablecoin that allows users to pay for computational resources and network transactions.",ICP
9,UNI,Uniswap,uniswap,16545658141.02972,Decentralized Exchanges,Financial,,"Uniswap is a decentralized exchange built on Ethereum that utilizes an automated market making system rather than a traditional order-book. Instead of matching individual buy and sell orders, users can pool together two assets that are then traded against, with the price determined based on the ratio between the two. ",UNI
10,BCH,Bitcoin Cash,bitcoin-cash,15021870674.951557,Currencies,Payments,A bitcoin fork focused on payments,"Bitcoin Cash is a Bitcoin <a href=""https://messari.io/blog/hard-fork"">hard fork</a> advocating for and building towards a literal interpretation of Bitcoin as a ""peer-to-peer electronic cash system"". It views cheap peer to peer transactions as the core value proposition of the network and is dedicated to increasing block sizes and on-chain transaction throughput in pursuit of this goal. Bitcoin Cash believes that starting as a medium of exchange is the superior route to becoming money in opposition to Bitcoin's strategy of first optimizing for securely storing value.",BCH
11,LINK,Chainlink,chainlink,13897900322.108242,Data Management,Services,Decentralized oracle network,"Chainlink is a decentralized <a href=""https://messari.io/article/oracles"">oracle</a> network. It aims to serve as a middleware between smart contracts on smart contracting platforms and external data sources, allowing smart contracts to securely access off-chain data feeds.",LINK
12,LTC,Litecoin,litecoin,13498379205.79386,Currencies,Payments,A peer-to-peer electronic cash,"Litecoin is a fork of Bitcoin's codebase with four times faster block times and a four times larger supply. The project considers itself complementary to Bitcoin as a silver to Bitcoin's gold. It is often used as a pseduo-testnet for Bitcoin, adopting new protocol changes before they are deployed on Bitcoin.",LTC
13,USDC,USD Coin,usd-coin,10830397882.273975,Stablecoins,Payments,A USD stablecoin by Coinbase and Circle,"USD Coin (USDC) is fiat-collateralized <a href=""https://messari.io/article/stablecoins"">stablecoin</a> that offers the advantages of transacting with blockchain-based assets while mitigating price risk. Each USDC is issued as an <a href=""https://messari.io/article/erc-20"">ERC-20</a> token on the Ethereum blockchain and is 100% collateralized by a corresponding USD held in accounts subject to regular public reporting of reserves.
",USDC
14,MATIC,Polygon,polygon,10658517035.13027,Scaling,Infrastructure,,"Polygon is a platform design to support infrastructure development and help Ethereum scale. Its core component is a modular, flexible framework (Polygon SDK) that allows developers to build and connect Layer-2 infrastructures like Plasma, Optimistic Rollups, zkRollups, and Validium and standalone sidechains like the project's flagship product, Matic POS (Proof-of-Stake). Polygon rebranded from Matic Network in February 2021 and pivoted towards supporting multiple Layer-2 infrastructure. It will continue to support the Matic POS sidechain and Plasma-based payment system, which currently hosts over 90 applications.",MATIC
15,HEX,Hex,hex-2,10556055766.687986,,,An ERC-20 compliant token airdropped to Bitcoin holders,"HEX is an ERC-20 compliant token on Ethereum claiming to be a high-interest blockchain certificate of deposit for Bitcoin holders.
",HEX
16,SOL,Sola Token,sola-token,,,,,,SOL
17,ETC,Ethereum Classic,ethereum-classic,9218515332.073456,Smart Contract Platforms,Infrastructure,A smart contract platform with a definitive monetary policy,"Ethereum Classic is a decentralized computing platform designed to execute <a href=""https://messari.io/resource/smart-contracts"">smart contracts</a>, which are applications that run as programmed without the possibility of censorship or third-party interference. It is a distributed network consisting of a blockchain ledger, a native cryptocurrency (called ETC), and an ecosystem of on-chain applications and services. Ethereum Classic is the legacy chain that split from <a href=""https://messari.io/asset/ethereum"">Ethereum</a> following a contentious hard fork, known as The DAO fork, in Jul. 2017. Like its sister chain, Ethereum Classic features an execution engine optimized for smart contract processing (known as the Ethereum Virtual Machine or EVM) and a Proof of Work (PoW) consensus system. While it shares some aspects with Ethereum, Ethereum Classic offers a more defined monetary policy and inflation schedule.",ETC
18,VET,VeChain,vechain,8247499199.69921,Smart Contract Platforms,Infrastructure,Enterprise supply chain network ,VeChain is a smart contract platform focused on providing supply chain management solutions for enterprises and integrating with Internet of Things (IoT) devices to facilitate the process. ,VET
19,THETA,Theta Network,theta-token,8081562278.925374,Content Creation and Distribution,Media and Entertainment,A decentralized video streaming and content delivery network,"Theta Token is the native asset of the Theta Network, a blockchain protocol for improving the quality and deliverability of streaming video content. ",THETA
20,XLM,Stellar,stellar,7947281452.514792,Currencies,Payments,A federated blockchain for global financial transactions ,"Stellar is an open-source payments network that serves as a distributed intermediary blockchain for global financial systems and circulates a native asset, Stellar Lumens (XLM). The Stellar blockchain allows anyone to issue new assets in the network and exchange for other assets via built-in asset exchange features. Assets on Stellar are issued and redeemed by anchors, who are trusted entities that issue digital credits on the Stellar network in exchange for deposits of the asset with the trusted entity. Anchors enable real world assets to be exchanged on Stellar by leveraging a <a href=""https://messari.io/resource/decentralized-exchanges"">distributed exchange</a> that maintains an order book for every asset pair. Stellar supports the issuance of any type of asset including stocks, currencies, cryptoassets and more.
",XLM
21,EOS,EOS,eos,6919350591.594531,Smart Contract Platforms,Infrastructure,A high-performance smart contract platform,"EOS is an open-source protocol designed by Dan Larimer and Block.one to support the creation of smart contracts and <a href=""https://messari.io/article/decentralized-applications-dapps"">decentralized applications (dApps)</a>. Its network features a <a href=""https://messari.io/article/delegated-proof-of-stake"">delegated Proof-of-Stake (DPoS)</a> consensus mechanism to help secure the platform while giving it a level of performance desirable for running applications. Through DPoS, EOS offers greater scalability and transaction throughput than traditional blockchain networks, but to a certain extent, it relinquishes complete decentralization and censorship resistance.",EOS
22,TRX,TRON,tron,5570454836.386245,Smart Contract Platforms,Infrastructure,Multi-purpose blockchain platform,"TRON is a multi-purpose smart contract platform that enables the creation and deployment of decentralized applications (<a href=""https://messari.io/article/decentralized-applications-dapps"">dApps</a>). It features a delegated Proof-of-Stake (<a href=""https://messari.io/article/delegated-proof-of-stake"">DPoS</a>) consensus mechanism, a system that offers an increase in performance while relinquishing true decentralization and censorship resistance. Tron is the brainchild of notorious crypto celebrity <a href=""https://messari.io/person/justin-sun"">Justin Sun</a>, who through Tron also acquired the peer-to-peer file-sharing network BitTorrent in 2018 and launched the BitTorrent Token (<a href=""https://messari.io/asset/bittorrent"">BTT</a>) a few months later.",TRX
23,WBTC,World Bitcoin,world-bitcoin,,,,A Bitcoin fork for chain interoperability and smart contracts,"World Bitcoin is a Bitcoin fork seemingly focused on developing smart contract features and optimizing for protocol interoperability. 
",WBTC
24,BUSD,Binance USD,binance-usd,5250711657.370753,Stablecoins,Payments,A USD backed stablecoin,"Binance USD (BUSD) is a fiat-collateralized stablecoin that offers the advantages of transacting with blockchain-based assets while mitigating price risk. BUSD are issued as <a href=""https://messari.io/article/erc-20"">ERC-20</a> tokens on the <a href=""https://messari.io/asset/ethereum"">Ethereum</a> blockchain and are collateralized 1:1 by USD held in Paxos-owned US bank accounts. BUSD is also the one of three stablecoins approved by Wall Street regulators, alongside <a href=""https://messari.io/asset/gemini-dollar"">GUSD</a> and <a href=""https://messari.io/asset/paxos-standard-token/profile"">PAX</a>.",BUSD
25,AAVE,Aave,aave,4958150794.012714,Lending,Financial,A peer-to-peer lending platform on Ethereum,"Aave is an open-source and non-custodial protocol to earn interest on deposits and borrow assets with a variable or stable interest rate. It also enables ultra-short duration, uncollateralized flash loans designed to be integrated into other products and services. ",AAVE
26,XMR,Monero,monero,4664716725.739274,Currencies,Payments,A privacy preserving electronic cash system,"Aimed at privacy-preservation and fungibility, Monero is a Bytecoin code fork providing anonymous value transfer through ring signatures, stealth addresses, confidential transactions, and bulletproofs. Monero offers anonymity by default in contrast to the optional privacy preserving functionalities of its peers. In pursuit of decentralization Monero continually changes its proof-of-work algorithm in order to prevent ASICs from dominating and centralizing the mining process. ",XMR
27,FIL,Filecoin,filecoin,4541212959.491033,File Storage,Infrastructure,Blockchain-based distributed file transfer and storage,"Filecoin is a decentralized data storage network built by Protocol Labs that allows users to sell their excess storage on an open platform. It acts as the incentive and security layer for IPFS (InterPlanetary File System), a peer-to-peer network for storing and sharing data files. Filecoin turns IPFS' storage system into an ""algorithmic market,"" where users pay storage providers in Filcoin's native token, FIL, to store and distribute data on the network.",FIL
28,DAI,Dai,dai,4529589211.273884,Stablecoins,Payments,A stablecoin for Maker's DAO,"Dai a fully collateralized stablecoin native to Maker's decentralized autonomous organization (DAO). 
",DAI
29,NEO,NEO,neo,4479474321.490034,Smart Contract Platforms,Infrastructure,A distributed platform for smart contract development,"NEO aims to build a comprehensive ""smart economy"" by incorporating digital assets, digital identities, and smart contracts. ",NEO
30,MIR,Mirror Protocol,mirror-protocol,352123607.2241197,,,,,MIR
31,MKR,Maker,maker,3764462139.3705034,Lending,Financial,A decentralized autonomous organization for the Dai stablecoin,"Maker is a peer-to-contract lending platform enabling over-collateralized loans by locking Ether in a smart contract and minting <a href=""https://messari.io/asset/dai"">Dai</a>, a stablecoin pegged to the US dollar. Dai's stability is achieved through a dynamic system of collateralized debt positions, autonomous feedback mechanisms and incentives for external actors. Once generated, Dai can be freely sent to others, used as payments for goods and services, or held as long term savings.",MKR
32,BSV,Bitcoin SV,bitcoin-sv,3423836066.753725,Currencies,Payments,A bitcoin fork focused on scalability,Bitcoin SV is a Bitcoin Cash hard fork prioritizing what the creators consider strict adherence to Satoshi Nakamo's original Bitcoin client. It views cheap peer-to-peer transactions as the core value proposition of the network and is dedicated to increasing block sizes and on-chain transaction throughput in pursuit of this goal.,BSV
33,FTT,FTX Token,ftx-token,3421251100.5477037,Centralized Exchanges,Financial,Exchange token for the FTX ecosystem,FTT is the native token designed for the cryptocurrency derivatives exchange FTX. It has numerous uses designed to benefit its users and increase network effects around the platform. ,FTT
34,RUNE,RuneStoneCoin,runestonecoin,,,,,,RUNE
35,XTZ,Tezos,tezos,3415171313.0655584,Smart Contract Platforms,Infrastructure,Self-amending blockchain,"Tezos is a multi-purpose blockchain which aims to combine a self-amending protocol and <a href=""https://messari.io/resource/on-chain-governance"">on-chain governance</a> to manage future changes and implementations to the network. It supports the creation of new tokens and <a href=""https://messari.io/resource/smart-contracts"">smart contracts</a> (thus decentralized applications or <a href=""https://messari.io/resource/decentralized-applications-dapps"">dApps</a>). The on-chain governance system enables token holders to make decisions together and improve the network over time, as opposed to the less-inclusive off-chain governance models used by <a href=""https://messari.io/asset/bitcoin"">Bitcoin</a> and <a href=""https://messari.io/asset/ethereum"">Ethereum</a>.",XTZ
36,MIOTA,IOTA,iota,3328762793.8833914,IoT,Services,A cryptocurrency for the internet of things,"IOTA is transaction settlement and data transfer layer for the Internet of Things (IoT). It's distributed ledger, the Tangle, is based on a data structure referred to as a <a href=""https://messari.io/article/directed-acyclic-graph-dag"">Directed Acyclic Graph</a> (DAG). In the Tangle there are no blocks or miners, and every transaction on the Iota network must validate two previous transactions through a small proof-of-work (PoW). Thus the more transactions occur, the faster the network can process new transactions, theoretically allowing the network to become more efficient as it scales.   ",MIOTA
37,CRO,Crypto.com Chain,crypto-com-chain,3313216722.114324,Payment Platforms,Payments,Enabling instant crypto payment transactions,,CRO
38,ATOM,Cosmos,cosmos,3097774992.465934,Smart Contract Platforms,Infrastructure,An Internet of Blockchains,"Cosmos is a network of sovereign blockchains that communicate via IBC (Inter-Blockchain Communication), an interoperability protocol modeled after TCP/IP for secure transfer of data and value. The Cosmos Hub, also known as ""Gaia,"" is a Proof-of-Stake (PoS) chain with a native token, ATOM, that acts as the primary hub for routing transactions and data between blockchains within the Cosmos network. The Cosmos Hub, like the majority of blockchains in the Cosmos network, is secured by a <a href=""https://messari.io/resource/byzantine-general-s-problem"">Byzantine Fault-Tolerant (BFT)</a> Proof-of-Stake consensus algorithm called Tendermint.",ATOM
39,CAKE,PancakeSwap,pancakeswap,3066192462.505121,Decentralized Exchanges,Financial,,"PancakeSwap is a decentralized exchange (DEX) built on Binance Smart Chain (BSC) that utilizes an automated market making (AMM) system. PancakeSwap is a fork of SushiSwap and has an almost identical codebase, but it has the advantage of cheaper and faster transactions from being built on BSC. It also offers additional features compared to SushiSwap, such as yield farming across other protocols, lotteries, and initial farm offerings (IFO).",CAKE
40,COIN,Coin Artist,coin-artist,,,,,,COIN
41,NIO,Autonio,autonio-2,2910871085.6481133,,,,,NIO
42,HT,Huobi Token,huobi-token,2909755090.0810275,Centralized Exchanges,Financial,Token for the Huobi exchange,"Huobi Token is an ecosystem token launched by Huobi Global, offering benefits such as trading fee and margin discounts and access to certain trading events. Huobi has committed to using 20% of exchange revenues every quarter to buy HT in the open market and subsequently burn. They also burn tokens used in FastTrack to vote on token listings as well as for ticket sales from Huobi Prime <a href=""https://messari.io/article/initial-exchange-offering-ieo"">Initial Exchange Offerings (IEO)</a>",HT
43,BTT,Bitcoin Top,bitcoin-top,,,,A Bitcoin fork built on Bitcoin Diamond,"Bitcoin Top is a Bitcoin fork targeting privacy and confirmation speed. 
",BTT
